"","Ligne.Incidentologie","Ligne.Q.qualif","Ligne.Approfondissement.Incident","NBINCI1","INCIFREQ1","NBINCI2","INCIFREQ2","NBINCI3","INCIFREQ3","NBINCI4","INCIFREQ4","NBINCI5","INCIFREQ5","NBINCI6","INCIFREQ6","NBINCI7","INCIFREQ7","NBINCI8","INCIFREQ8","NBINCI9","INCIFREQ9","NBINCI10","INCIFREQ10","NBINCI11","INCIFREQ11","NBINCI12","INCIFREQ12","AUTRESINCI","NBAUTRESINCI","TOTAL_INC","DESCAUTREINCI1","DESCAUTREINCI2","DESCAUTREINCI3","DESCAUTREINCI4","DESCAUTREINCI5","DESCAUTREINCI6","DESCAUTREINCI7","DESCAUTREINCI8","DESCAUTREINCI9","DESCAUTREINCI10","EXPCYCLO","EXP125","EXPGC","ACCORDNEXTQ","CHOIXINCI","RGPMTINCI","CHOIX1","CHOIX2","CHOIX3","CHOIX4","CHOIX5","CHOIX6","CHOIX7","DESCRIPTION","RUPTURE","FAITS","ABS_REACTION","IMPACT_COMPORTEMENT","COMPORTEMENT_PRECISION","AUTRE_USAGER","REACTION_AUTRE_USAGER","CONNAISSANCE_REACTIOn_USAGER","DIFFICULTES","AGGRAVATION","AGGRAVATION_PRECISION","EMOTION1","EMOTION2","EMOTION3","EMOTION4","EMOTION5","EMOTION6","AUTRE_SENTIMENT","CL_EMOTION1","CL_EMOTION2","CL_EMOTION3","CL_EMOTION4","CL_EMOTION5","CL_EMOTION6","CL_EMOTION9","EXPL_EMOTION","BIEN_EQUIPE","ALLURE","ALLURE_VITE_DETAIL","ALLURE_LENTE_DETAIL","SIT_CONDUITE1","SIT_CONDUITE2","SIT_CONDUITE3","SIT_CONDUITE4","SIT_CONDUITE5","SIT_CONDUITE6","SIT_CONDUITE7","SIT_CONDUITE8","HUMEUR1","HUMEUR2","HUMEUR3","HUMEUR4","HUMEUR5","CONTRIBUTION1","CONTRIBUTION2","CONTRIBUTION3","CONTRIBUTION4","CONTRIBUTION5","CONTRIBUTION6","CONTRIBUTION7","CONTRIBUTION8","CONTRIBUTION9","ROLE_INFRA","ELEMENT_INFRA1","ELEMENT_INFRA2","ELEMENT_INFRA3","ELEMENT_INFRA4","ELEMENT_INFRA5","ELEMENT_INFRA6","ELEMENT_INFRA7","ELEMENT_INFRA8","MEDICAMENTS","ALCOOL","TX_ALCOOL","STUP","SEMAINE","MOMENT_JOURNEE","TEMPS","CAUSE_ACC1","CAUSE_ACC2","CAUSE_ACC3","CAUSE_ACC4","CAUSE_ACC5","FORMATION_CAUSE","FORMATION1","FORMATION2","FORMATION3","FORMATION4","TRAFIC","CHAUSSEE1","CHAUSSEE2","CHAUSSEE3","CHAUSSEE4","TRAJET","TYPE_ROUTE","MOTIF","SENS_TRAJET","PASSAGER","VITESSE","DESC_EQUIPEMENT1","DESC_EQUIPEMENT2","DESC_EQUIPEMENT3","DESC_EQUIPEMENT4","DESC_EQUIPEMENT5","DESC_EQUIPEMENT6","DESC_EQUIPEMENT7","DESC_EQUIPEMENT8","DESC_EQUIPEMENT9","DESC_EQUIPEMENT10","HABITUDE1","HABITUDE2","HABITUDE3","HABITUDE4","HABITUDE5","HABITUDE6","MARQUE","CYLINDREE","MODELE","GTA","SEGMENT","APPELLATION","OPTION","SIDE","EQ_2RM1","EQ_2RM2","EQ_2RM3","EQ_2RM4","EQ_2RM5","EQ_2RM6","EQ_2RM7","EQ_2RM8","EQ_2RM9","EQ_2RM10","KM","POINTS","DUREE","AUTRE_2RM","VEH_PREC_MARQUE","VEH_PREC_CYLINDREE","VEH_PREC_MODELE","VEH_PREC_GTA","VEH_PREC_SEGMENT","VEH_PREC_APPELLATION","VEH_PREC_OPTION","VEH_PREC_SIDE","TEMPS_2RM1","FREQ_2RM1","DATE_NAISS","CSP","SOCIETAIRE","SALARIE","SECTEUR2RM","NBPERSFOYER","SITFAM","NBENF","TRNBENF1","TRNBENF2","TRNBENF3","TRNBENF4","NBAUTOFOYER","NBCYCLOFOYER","NBSCOOTFOYER","NBMOTOFOYER","NBTRIKEFOYER","NB2RMCONDUIT","MARQUE1","CYLINDREE1","MODELE1","SEGMENT1","SIDE1","ANMISECIRCU1","ASS1","FREQ1","USAGE1","NBKM1","GARAGE1","MARQUE2","CYLINDREE2","MODELE2","SEGMENT2","SIDE2","ANMISECIRCU2","ASS2","FREQ2","USAGE2","NBKM2","GARAGE2","MARQUE3","CYLINDREE3","MODELE3","SEGMENT3","SIDE3","ANMISECIRCU3","ASS3","FREQ3","USAGE3","NBKM3","GARAGE3","MARQUE4","CYLINDREE4","MODELE4","SEGMENT4","SIDE4","ANMISECIRCU4","ASS4","FREQ4","USAGE4","NBKM4","GARAGE4","MARQUE5","CYLINDREE5","MODELE5","SEGMENT5","SIDE5","ANMISECIRCU5","ASS5","FREQ5","USAGE5","NBKM5","GARAGE5","NBKMTOT","PERMIS1","PERMIS2","PERMIS3","PERMIS4","PERMIS5","PERMIS6","PERMIS7","PERMIS8","PERMIS9","ANPERMIS1","ANPERMIS6","ANPERMIS7","ANPERMIS2","ANPERMIS3","ANPERMIS8","ANPERMIS9","ANPERMIS4","ANPERMIS5","X","X.1","X.2","isScooter"
"1",1510,15,"",1,2,0,1,1,1,0,2,30,6,0,1,0,1,1,2,1,1,1,1,0,1,4,3,0,NA,39,"","","","","","","","","",NA,"4","1",23,0,NA,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","16SEP1965","6","1","","2",2,3,NA,"NSP","","","",0,0,0,2,0,2,"YAMAHA",1300,"FJR","Routière / GT","","2006","37",1,2,21000,"","BMW","1100","R1100RT","Routière / GT","","2001",37,1,2,22000,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",43000,"3",NA,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","1992","","","NRP","NRP","","","","Motorcycle"
"2",202,34,"29V2",2,5,1,5,2,4,1,5,1,4,0,2,0,4,17,3,3,5,0,5,2,2,3,2,1,3,35,"Sortie de parking en créneau sans clignotant","Ouverture de porte conducteur sur la chaussée au passage du 2 roues","Voiture sur 2X2 qui coupe les 2 voies pour effectuer une sortie en urgence","","","","","","",NA,"5","13",0,1,8,"Vou","4","","","",NA,NA,NA,"J'ai vécu la situation comme une agression physique délibérée de la part de l'automobiliste irresponsable qui a volontairement attenté à ma sécurité.","Circulant sur la file de droite d'une 2x2 voies l'automobiliste m'a dépassé pour se rabattre immédiatement et prendre la voie de décélération d'une sortie le tout sur moins de 100 mètres et à 100 km/h pour moi Toutes cette action s'est passée sans clignotant de la part de l'automobiliste.","Freinage violent mon 2 roues dispose de l'ABS Evitement en prenant volontairement la partie gauche de ma voie la voie de gauche étant encombrée par la circulation","NRP","2","Confronté au même scénario: réduction de vitesse et occupation de la partie gauche de ma voie","1","NSP","","NSP","2","","4","6",NA,NA,NA,NA,"","",NA,"",1,NA,2,NA,"J'ai durant mon parcours d'automobiliste et d'utilisateur de 2 roues environ 3 000 000 de kms parcouru à maîtriser de nombreuses situations. Mais quand on attente à ma sécurité j'ai toujours ce sentiment d'impuissance et d'incompréhension de l'attitude de l'autre","3","3","","","1","1","4","4","1","1","1","1","1",3,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,0,100,0,0,0,"2","","","","","3","1","","","",1,"2","3",NA,0,100,1,10,2,3,4,NA,NA,NA,NA,NA,"4","3","3","2","4","4","YAMAHA","125","X-MAX ABS","15931","SCOOTER","YAMAHA, 125 X-MAX ABS","1","2","0","1",1,1,1,1,1,1,2,1,"1653","12",2,1,"YAMAHA","125","MAJESTY","10725","SCOOTER","YAMAHA, 125 MAJESTY","1","2","4","3","15APR1947","9","2","","2",2,3,NA,"NSP","","","",2,1,1,0,0,1,"YAMAHA",125,"MAJESTY","Scooter","","2006","31",2,1,3000,"","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",3000,"4",NA,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","NRP","","","1966","NRP","","","","Scooter"
"3",1253,57,"",0,6,0,6,0,5,0,5,2,5,0,5,0,5,3,5,2,5,0,3,0,6,0,5,1,2,9,"Tracteur sortant d'une exploitation sans s'occuper des autres usagers","Moissonneuse avec sa lame de coupe montée (hors gabarit) en sortie de virage","","","","","","","",NA,"0","2",34,1,5,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","16AUG1963","5","2","","2",4,4,2,"3","4","","",1,0,0,2,0,1,"HONDA",1300,"PAN EUROPEAN","Routière / GT","","2010","28",2,1,12000,"","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",12000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","1995","","","1981","NRP","","","","Motorcycle"
"4",804,68,"",3,4,0,3,4,4,2,5,2,5,0,3,0,1,0,3,20,4,0,1,0,1,5,2,1,2,38,"Glisade","Flissade","","","","","","","",NA,"2","2",30,1,12,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","11AUG1964","4","1","","2",4,4,2,"1","","","",2,0,0,5,0,5,"HONDA",1000,"CBX","Roadster","","1980","37",3,1,2000,"","HONDA","1000","CBX","Roadster","","1981",37,2,1,4000,"","HONDA","1000","CBX","Roadster","","1982",37,3,1,1000,"","YAMAHA",1300,"FJR","Routière / GT",NA,2002,37,1,2,30000,"","BMW",500,"R50","Roadster",NA,1963,37,4,1,1000,"",38000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","1982","","","1982","NRP","","","","Motorcycle"
"5",55,81,"223V2",0,1,0,2,0,2,0,1,0,2,0,2,0,1,0,2,1,4,0,1,0,2,0,1,0,NA,1,"","","","","","","","","",NA,"0","1",4,1,9,"Vou","6","","","",NA,NA,NA,"C'est simple, l'automobiliste déboîte sans faire attention à son angle mort.  Quand c'est une voiture qui est dans l'angle mort, ils peuvent l'avoir perçue de manière passive car elle prend de la place dans le rétro,et qu'elle met plus de temps à déboîter et donc attire l'attention plus facilement. Pour voir la moto il n'y a pas le choix, il faut vérifier activement en tournant la tête, ce que trop peu de gens font.  J'ai un cousin qui est parti dans le décor dans ce genre de circonstance (à la différence que ce n'était pas sur une 2x2 voies).  Pour ma part que je fais un dépassement, j'évite au maximum de m'attarder dans les angles morts. Si je dois dépasser une voiture qui roule à 105km/h là où c'est limité à 110, je trouve beaucoup plus sécurisant de faire mon dépassement à plus de 120 plutôt que de rester ""sagement"" à 110 comme le dit le code de la route.  D'une manière générale je m'arrange pour être dans un régime qui me permet d'avoir de la reprise car en cas d'urgence c'est le seul échappatoire sûr (freiner est inenvisageable car il peut y avoir quelqu'un à me coller aux fesses). D'ailleurs la plus grande frayeur, je l'ai justement eue à l'époque où je roulais en 125cm3, j'étais déjà à 10000 tours et je n'ai pas eu d'autre solution que de me décaler et me retrouver sur le bord de la chaussée.  Donner un gros coup d'accélérateur a en plus l'avantage de faire du bruit et servir d'avertisseur sonore, car en situation d'urgence on ne trouve pas le bouton du klaxon.","L'automobiliste qui déboîte.  Quand je dépasse une voiture, je reste vigilant en permanence sur ses moindres mouvements, c'est devenu un réflexe maintenant (et je m'arrange pour garder un grande distance de sécurité pour pouvoir donner un grosse accéleration en cas d'urgence).","je crois que j'ai déjà répondu dans les précédentes questions ;)  Les premières fois que ça m'est arrivé, j'ai plutôt eu tendance à me décaler et à ralentir pour passer derrière la voiture.  Maintenant je m'arrange pour prévenir ce genre de situation (et j'ai un plus gros cube, ce qui me permet de réagir de manière plus sûre)","1","2","NRP","1","2","","il ne m'a pas vu","2","","1","6",NA,NA,NA,NA,"","1",NA,"",NA,NA,2,NA,"NRP","3","3","","","2","2","3","3","1","1","1","1","1",4,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,10,90,0,0,0,"1","4","AUT|inexpérience + formation courte (125)","","","2","1","","","",2,"4","3",NA,0,100,1,2,3,4,NA,NA,NA,NA,NA,NA,"3","3","3","3","3","3","KAWASAKI","500","ER-5","3335","ROADSTER","KAWASAKI, 500 ER-5","1","null","1","1",1,1,1,1,1,1,1,1,"10000","12",1,1,"YAMAHA","125","YB-R","13058","ROADSTER","YAMAHA, 125 YB-R","1","2","1","2","16JUN1981","5","2","","2",1,1,NA,"NSP","","","",0,2,0,2,0,1,"KAWASAKI",500,"ER-5","Roadster","","2006","28",3,1,2500,"","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",2500,"5",4,3,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","2010","","","1999","2009","","","","Motorcycle"
"6",252,100,"217V2",10,5,1,4,1,5,10,4,12,4,5,4,2,4,10,4,2,4,5,4,5,4,12,3,1,0,75,"","","","","","","","","",NA,"0","1",12,1,3,"Vou","3","6","","",NA,NA,NA,"Automobiliste lassé d'attendre à un feu de route, decide, sans clignotant de tourner à gauche, sans contrôle visule, freiage d'urgence, moto par terre, urgences pour moi","Lassitude de l'automobiliste","Prmeiers secours portées par une automobiliste à mon encontre. Appel aux pompiers. Demande de ma part à la PM de contrôler l'identité de l'automobiliste, car défaut de papier","NRP","2","Méfiance lors des remontées de files","1","2","","NSP","2","","2","",NA,NA,NA,NA,"","",1,"",NA,NA,NA,NA,"Ne m'y attendais pas, donc freinage d'urgence","3","3","","","2","4","3","1","1","1","1","2","2",2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,10,90,0,0,0,"2","","","","","4","1","","","",1,"1","1",2,0,30,1,2,3,4,7,NA,NA,NA,NA,NA,"4","4","4","4","4","4","YAMAHA","600","FZ6","6267","ROADSTER","YAMAHA, 600 FZ6","1","2","1","1",1,1,1,1,0,1,1,1,"15000","12",2,0,"","","","","","","","","","","21FEB1978","6","1","","2",2,3,NA,"NSP","","","",1,0,0,1,0,1,"YAMAHA",800,"FAZER8","Roadster","","2010","37",1,2,10000,"","","","","","","",NA,NA,NA,NA,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",10000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","2003","","","1996","NRP","","","","Motorcycle"
"7",645,107,"170V2",0,6,0,6,0,6,0,6,2,6,0,5,0,4,0,5,0,6,0,4,0,6,0,5,1,3,5,"1 et 2, même situation : je suis engagé sur un rond-point et une voiture me coupe la priorité","je suis engagé sur un rond-point et une voiture me coupe la priorité","Stop non respecté par un véhicule","","","","","","",NA,"0","12",6,1,5,"Vou","4","6","","",NA,NA,NA,"Il est assez fréquent que des voitures venant de ma droite -mais dans les cas que j'évoque ils ne sont pas prioritaires, il y a un stop ou une balise- s'engagent sur la route alors que je suis à quelques mètres (10-20 environ).  La majeure partie du temps, le conducteur ne m'a pas vu et est très surpris. Je le vois souvent sursauter. En général je ne l'ai pas non plus vu regarder avant de s'engager : il a juste grillé le stop ou la priorité. Mais comme je suis parano comme un sioux quand je suis à moto, je l'avais vu arriver, et j'avais ralenti. J'ai quand même eu une ou deux (peut-être plus) frayeurs.  C'est la même chose avec les ronds-points ...  Quand je suis engagé, bien sûr...    La dernière situation d'urgence :  Un conducteur en Mercedes blanche (années 1990), immatriculé 35, qui s'est gentiment mis sur la file de gauche, clignotant à gauche, pour aller vers le Mail Mitterrand (Rennes) .... Il était donc sur la bonne file Et il a viré brutalement à droite, le long des quais pour prendre le Bd de Chézy et aller vers Les Lices alors que j'arrivais tranquillou à moto sur ma file. Cette belle queue de poisson m'a envoyé tutoyer le bitume trempé. Je ne roulais pas vite (ville+pluie+virage+passage piétons donc glissant)... Le conducteur a freiné un court instant, s'est même (presque) arrêté, a jeté un oeil dans le rétroviseur, s'est retourné, m'a vu à terre ...  Et est reparti sans m'aider à relever la moto. Plusieurs voitures sont passées sans s'arrêter C'est un cycliste qui s'en est chargé.","Hormis la situation en ville de Rennes où je n'ai rien vu venir, j'ai vu que le conducteur ne m'avait pas vu et continuait sa route comme s'il était prioritaire.","Difficile à dire, pour l'ordre des réactions. Freinage et relâchement de la poignée des gazs, tout simplement.  Dans le cas de l'accident rennais, je suis tombé (freinage sur chaussée humide plus passage piéton, ça pardonne rarement)","2","2","Je ralentis systématiquement.  Je ralentis même en ville quand le feu est vert pour moi, on ne sait jamais...","1","2","","Cécité attentionnelle, angles morts, ou manque patent d'attention  (ou encore tout se passe comme si la personne se disait ""JE suis en voiture, JE passe"")","2","","1","2",9,NA,NA,NA,"de la colère (après la situation)","2",1,"",NA,NA,NA,3,"Le comportement des automobilistes est toujours surprenant pour moi, même si grosso modo j'ai anticipé et ralenti en les sentant venir ...","3","3","","","1","2","3","4","1","1","1","1","4",3,4,4,4,2,7,NA,NA,NA,NA,NA,NA,NA,1,"1","2","","","",NA,NA,NA,2,2,NA,2,1,1,2,3,90,0,0,7,"2","","","","","2","2","","","",1,"1","3",NA,0,15,1,10,2,5,NA,NA,NA,NA,NA,NA,"4","4","4","2","3","3","HONDA","125","VARADERO","4462","TRAIL / SUPERMOTARD","HONDA, 125 VARADERO","1","2","1","1",1,1,1,1,1,1,1,1,"18000","11",4,1,"SUZUKI","125","TU125XT SUPER CLASSIC","3869","ROADSTER","SUZUKI, 125 TU125XT SUPER CLASSIC","1","2","4","4","27FEB1959","5","2","","2",1,1,NA,"NSP","","","",1,0,0,2,0,2,"TRIUMPH",1200,"TROPHY","Routière / GT","","1977","31",2,1,10000,"","HONDA","125","VARADERO","Trail / Supermotard","","2006",31,2,2,300,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",10300,"2",3,4,NA,NA,NA,NA,NA,NA,"NRP","","","1981","2009","","","1981","NRP","","","","Motorcycle"
"8",711,110,"",0,2,1,6,2,4,0,1,3,6,0,4,0,6,1,2,5,4,0,2,1,5,7,3,0,NA,20,"","","","","","","","","",NA,"2","0",30,1,9,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","16MAY1966","2","2","","1",4,4,2,"4","","","",4,0,0,6,0,10,"BMW",1200,"R1200R","Roadster","","2008","26",1,3,38000,"","YAMAHA","600","XJ6","Roadster","","2010",40,1,3,20000,"","YAMAHA","600","XJ6","Roadster","","2011",40,1,3,20000,"","YAMAHA",125,"YB-R","Roadster",NA,2011,40,2,3,10000,"","YAMAHA",600,"XJ6 DIVERSION","Roadster",NA,1980,41,4,1,100,"",88100,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","1988","","","1984","NRP","","","","Motorcycle"
"9",127,136,"",0,6,0,5,0,4,0,5,0,4,0,4,1,6,1,4,0,4,1,5,0,2,5,3,0,NA,8,"","","","","","","","","",NA,"0","1",35,1,12,"NRP","","","","",NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,"","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","","","","","30JAN1956","9","1","","2",3,4,1,"4","","","",2,1,0,3,1,4,"HARLEY-DAVIDSON",1584,"ROAD KING","Routière / GT","","2008","37",2,1,15000,"","PEUGEOT","125","TRIPORTEUR SERIE 55","SIDE-CAR / TRIKE","2","1952",37,3,1,500,"","HARLEY-DAVIDSON","1200","SPORTSTER","Roadster","","2007",37,2,1,10000,"","MONET GOYON",125,"BASIQUE","Roadster",NA,1953,37,4,1,200,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",25700,"2",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","1972","NRP","","","1974","NRP","","","","Motorcycle"
"10",1287,145,"157V1",1,5,1,5,0,6,0,6,0,4,1,2,3,5,0,6,0,6,1,5,0,1,0,1,0,NA,7,"","","","","","","","","",NA,"45","4",41,1,6,"Vou","3","4","5","6",NA,NA,NA,"c'était un fourgon qui a laissé passer un véhicule sortant d'un parking et qui m'a coupé la route alors que je remontais la file, heureusement je roule a vitesse réduite quand je remonte une file et je suis conscient que s'il y avait eu impact j'aurais eu tous les torts !","tous les véhicules étaient a l'arrêt dans ma file et j'ai voulu aller jusqu'à l'intersection motif du ralentissement sans dépasser la ligne médiane","je roulais a vitesse réduite heureusement ce qui m'a permis d'effectuer un freinage d'urgence, l'autre usager n'a eu aucune réaction car il regardait dans l'autre sens si un véhicule arrivait","NRP","2","quand je remonte une file je suis beaucoup plus attentif et je me pose la question ""que fait ce véhicule arrêter alors que les autres avancent lentement","0","","","","","","1","2",5,6,NA,NA,"","2",1,"",NA,NA,3,NA,"le véhicule sortant était complètement masqué par le fourgon","4","3","","","1","1","4","3","1","1","1","1","1",1,4,4,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2,"","","","","",NA,NA,NA,2,2,NA,2,1,1,1,100,0,0,0,0,"2","","","","","4","1","","","",1,"1","1",2,0,30,1,2,4,7,NA,NA,NA,NA,NA,NA,"4","4","4","4","4","4","HONDA","750","INTEGRA (NC750D)","20633","SCOOTER","HONDA, 750 INTEGRA (NC750D)","1","2","0","1",1,1,1,1,1,1,1,1,"5000","12",2,1,"SUZUKI","1400","GSX","4687","ROADSTER","SUZUKI, 1400 GSX","1","2","4","3","02JUN1956","7","2","","2",2,3,NA,"NSP","","","",2,0,1,1,0,2,"SUZUKI",1400,"GSX","Roadster","","2006","29",3,1,4000,"","SUZUKI","400","BURGMAN","Scooter","","2007",29,1,2,7000,"","","","","","","",NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,"",11000,"3",4,NA,NA,NA,NA,NA,NA,NA,"NRP","","","NRP","1982","","","1974","NRP","","","","Motorcycle"
