"","semaine","momentjourne","temps","trajet","typeroute","vitesse","acident_incident"
"1","1","1","1","1","2",100,"incident"
"2","1","1","1","2","4",100,"incident"
"3","1","1","1","1","1",30,"incident"
"4","1","1","2","1","1",15,"incident"
"5","1","1","1","1","1",30,"incident"
"6","1","2","1","1","1",60,"incident"
"7","2","1","1","2","1",30,"incident"
"8","1","1","1","3","2",70,"incident"
"9","1","3","2","1","1",40,"incident"
"10","1","1","1","1","2",20,"incident"
"11","1","1","1","1","1",60,"incident"
"12","1","1","1","1","3",110,"incident"
"13","1","1","1","2","1",30,"incident"
"14","2","1","1","1","1",50,"incident"
"15","1","1","1","2","1",50,"incident"
"16","1","3","2","1","1",50,"incident"
"17","1","1","1","1","1",50,"incident"
"18","1","1","1","1","4",55,"incident"
"19","1","1","1","1","1",45,"incident"
"20","1","1","1","1","2",85,"incident"
"21","2","1","1","2","2",30,"incident"
"22","1","1","2","1","1",45,"incident"
"23","1","1","1","1","2",113,"incident"
"24","1","1","1","1","1",40,"incident"
"25","1","1","1","2","4",110,"incident"
"26","1","1","1","1","2",70,"incident"
"27","2","1","1","1","2",100,"incident"
"28","1","1","1","2","1",60,"incident"
"29","1","1","2","1","3",60,"incident"
"30","1","2","1","2","1",40,"incident"
"31","2","1","1","1","2",70,"incident"
"32","2","1","1","2","3",130,"incident"
"33","2","1","1","2","2",90,"incident"
"34","1","1","1","3","2",45,"incident"
"35","2","1","1","2","2",80,"incident"
"36","1","1","1","1","3",110,"incident"
"37","2","1","2","1","4",30,"incident"
"38","1","1","1","1","4",90,"incident"
"39","1","1","1","2","2",100,"incident"
"40","1","1","1","1","2",60,"incident"
"41","1","1","1","1","4",45,"incident"
"42","1","1","1","1","1",50,"incident"
"43","1","1","1","1","1",55,"incident"
"44","2","1","1","3","1",35,"incident"
"45","1","1","1","2","2",90,"incident"
"46","1","3","1","1","2",72,"incident"
"47","1","1","1","1","1",40,"incident"
"48","1","1","1","1","2",80,"incident"
"49","1","1","1","1","2",80,"incident"
"50","1","1","1","1","4",90,"incident"
"51","1","1","1","1","2",70,"incident"
"52","1","1","1","1","3",60,"incident"
"53","1","1","1","1","1",50,"incident"
"54","1","1","1","1","2",60,"incident"
"55","2","1","1","2","1",45,"incident"
"56","1","1","1","1","3",105,"incident"
"57","2","3","1","2","2",110,"incident"
"58","1","1","1","1","1",60,"incident"
"59","1","1","1","1","3",40,"incident"
"60","2","1","1","2","1",20,"incident"
"61","1","3","1","1","1",60,"incident"
"62","2","1","1","2","2",100,"incident"
"63","2","1","1","1","3",130,"incident"
"64","1","1","1","1","2",95,"incident"
"65","3","1","1","3","2",30,"incident"
"66","1","1","1","2","2",75,"incident"
"67","1","1","1","1","2",40,"incident"
"68","1","1","1","2","2",100,"incident"
"69","1","1","1","1","1",40,"incident"
"70","1","1","1","1","2",90,"incident"
"71","1","1","1","2","3",130,"incident"
"72","1","1","1","1","1",100,"incident"
"73","1","1","1","1","1",50,"incident"
"74","2","1","1","2","1",50,"incident"
"75","1","1","1","3","2",70,"incident"
"76","1","1","1","1","4",100,"incident"
"77","1","1","1","1","1",20,"incident"
"78","1","1","1","1","2",90,"incident"
"79","2","1","1","2","4",90,"incident"
"80","1","1","2","1","2",70,"incident"
"81","1","1","1","1","2",95,"incident"
"82","1","1","1","2","1",40,"incident"
"83","1","1","1","1","4",80,"incident"
"84","2","1","1","2","1",54,"incident"
"85","1","1","1","1","1",60,"incident"
"86","1","1","1","1","1",60,"incident"
"87","1","3","1","1","2",100,"incident"
"88","1","1","1","1","1",45,"incident"
"89","1","1","1","1","4",100,"incident"
"90","1","1","1","1","3",80,"incident"
"91","1","1","1","1","1",30,"incident"
"92","1","1","1","1","3",110,"incident"
"93","2","1","1","3","2",100,"incident"
"94","2","1","1","2","2",80,"incident"
"95","1","1","2","1","4",50,"incident"
"96","1","1","1","2","1",40,"incident"
"97","1","1","1","2","1",50,"incident"
"98","1","1","1","1","5",55,"incident"
"99","1","1","1","2","4",95,"incident"
"100","1","1","1","2","2",70,"incident"
"101","2","1","1","3","2",70,"incident"
"102","1","1","1","1","2",25,"incident"
"103","1","1","1","1","1",40,"incident"
"104","1","1","2","2","2",60,"incident"
"105","1","1","1","1","1",60,"incident"
"106","1","1","1","1","1",40,"incident"
"107","1","1","1","1","1",30,"incident"
"108","1","1","1","2","4",100,"incident"
"109","2","1","1","3","2",90,"incident"
"110","1","1","1","1","1",50,"incident"
"111","1","1","1","3","2",60,"incident"
"112","1","1","1","1","2",70,"incident"
"113","1","1","1","3","2",70,"incident"
"114","1","1","2","1","1",50,"incident"
"115","1","1","1","1","1",45,"incident"
"116","1","1","1","1","1",20,"incident"
"117","2","1","1","2","3",130,"incident"
"118","1","1","1","3","2",85,"incident"
"119","1","1","1","1","1",30,"incident"
"120","1","2","2","1","1",50,"incident"
"121","2","1","1","2","1",60,"incident"
"122","1","1","1","1","1",20,"incident"
"123","1","1","1","1","1",30,"incident"
"124","1","1","1","1","2",90,"incident"
"125","2","1","1","2","2",80,"incident"
"126","2","1","1","2","1",50,"incident"
"127","1","1","1","1","2",70,"incident"
"128","1","3","1","1","4",80,"incident"
"129","2","1","1","2","2",50,"incident"
"130","1","1","1","2","4",80,"incident"
"131","1","1","1","1","4",90,"incident"
"132","1","1","1","1","1",45,"incident"
"133","1","1","1","1","1",55,"incident"
"134","1","1","1","2","4",110,"incident"
"135","1","1","1","2","1",30,"incident"
"136","2","1","1","3","2",100,"incident"
"137","1","1","1","3","2",100,"incident"
"138","1","1","1","2","2",70,"incident"
"139","1","1","1","1","3",120,"incident"
"140","1","2","1","1","1",30,"incident"
"141","1","3","1","1","4",70,"incident"
