Ligne,Ligne Q qualif,Ligne approfondissement Accident,ACCIDENT,NBACC1,ACCFREQUENCE1,ANNEEACC1_1,ANNEEACC1_2,ANNEEACC1_3,ANNEEACC1_4,ANNEEACC1_5,NBACC2,ACCFREQUENCE2,ANNEEACC2_1,ANNEEACC2_2,ANNEEACC2_3,ANNEEACC2_4,ANNEEACC2_5,NBACC3,ACCFREQUENCE3,ANNEEACC3_1,ANNEEACC3_2,ANNEEACC3_3,ANNEEACC3_4,ANNEEACC3_5,NBACC4,ACCFREQUENCE4,ANNEEACC4_1,ANNEEACC4_2,ANNEEACC4_3,ANNEEACC4_4,ANNEEACC4_5,NBACC5,ACCFREQUENCE5,ANNEEACC5_1,ANNEEACC5_2,ANNEEACC5_3,ANNEEACC5_4,ANNEEACC5_5,NBACC6,ACCFREQUENCE6,ANNEEACC6_1,ANNEEACC6_2,ANNEEACC6_3,ANNEEACC6_4,ANNEEACC6_5,NBACC7,ACCFREQUENCE7,ANNEEACC7_1,ANNEEACC7_2,ANNEEACC7_3,ANNEEACC7_4,ANNEEACC7_5,NBACC8,ACCFREQUENCE8,ANNEEACC8_1,ANNEEACC8_2,ANNEEACC8_3,ANNEEACC8_4,ANNEEACC8_5,NBACC9,ACCFREQUENCE9,ANNEEACC9_1,ANNEEACC9_2,ANNEEACC9_3,ANNEEACC9_4,ANNEEACC9_5,NBACC10,ACCFREQUENCE10,ANNEEACC10_1,ANNEEACC10_2,ANNEEACC10_3,ANNEEACC10_4,ANNEEACC10_5,NBACC11,ACCFREQUENCE11,ANNEEACC11_1,ANNEEACC11_2,ANNEEACC11_3,ANNEEACC11_4,ANNEEACC11_5,NBACC12,ACCFREQUENCE12,ANNEEACC12_1,ANNEEACC12_2,ANNEEACC12_3,ANNEEACC12_4,ANNEEACC12_5,NBACC13,ACCFREQUENCE13,ANNEEACC13_1,ANNEEACC13_2,ANNEEACC13_3,ANNEEACC13_4,ANNEEACC13_5,NBACC14,ACCFREQUENCE14,ANNEEACC14_1,ANNEEACC14_2,ANNEEACC14_3,ANNEEACC14_4,ANNEEACC14_5,AUTRESACC,NBAUTRESACC,TOTAL_AC,ANNEEAUTREACC1,ANNEEAUTREACC2,ANNEEAUTREACC3,ANNEEAUTREACC4,ANNEEAUTREACC5,LIEUAUTREACC1,LIEUAUTREACC2,LIEUAUTREACC3,LIEUAUTREACC4,LIEUAUTREACC5,DESCRIPTIONAUTRESACC1,DESCRIPTIONAUTRESACC2,DESCRIPTIONAUTRESACC3,DESCRIPTIONAUTRESACC4,DESCRIPTIONAUTRESACC5,NBAUTRESACCCIRCUIT,NBAUTRESTOUTTERRAIN,EXPCYCLO,EXP125,EXPSUP125,ACCORDNEXTQ,CHOIXACC,RGPMTACC,RECUPANNEE,RECUPLIEU,RECUPANNE,RGPMTAC,CHOIX1,CHOIX2,CHOIX3,CHOIX4,CHOIX5,CHOIX6,CHOIX7,DESCRIPTION,RUPTURE,FAITS,ABS_REACTION,AUTRE_REACTION,PRECISIONREACTIONOUI,RECUL,PRECISIONREACTIONNON,IMPACTCOMPORTEMENT,AUTREUSAGER,REACTIONAUTREUSAGER,CONNAISSANCEREACTIONUSAGER,DIFFICULTES,AGGRAVATION,DIFFICULTES2,EMOTIONS1,EMOTIONS2,EMOTIONS3,EMOTIONS4,EMOTIONS5,EMOTIONS6,AUTRESENTIMENT,CLASSEMENTEMOTIONS1,CLASSEMENTEMOTIONS,CLASSEMENTEMOTIONS5,CLASSEMENTEMOTIONS6,CLASSEMENTEMOTIONS7,CLASSEMENTEMOTIONS8,CLASSEMENTEMOTIONS9,EXPLICATIONRESSENTI,BIENEQUIPE,ALLURE,ALLUREVITEDETAIL,ALLURELENTEDETAIL,SITUATIONPRESSE,SITUATIONDISTRAIT,SITUATIONCONFIANT,SITUATIONCONTROLE,SITUATIONLUDIQUE,SITUATIONPERF,SITUATIONSTRESS,SITUATIONFATIGUE,HUMEURNEUTRE,HUMEURGAI,HUMEURMECONTENT,HUMEURTRISTE,HUMEURCOLERE,CONTRIBUTION1,CONTRIBUTION2,CONTRIBUTION3,CONTRIBUTION4,CONTRIBUTION5,CONTRIBUTION6,CONTRIBUTION7,CONTRIBUTION8,CONTRIBUTION9,ROLEINFRA,ELEMENTINFRA1,ELEMENTINFRA2,ELEMENTINFRA3,ELEMENTINFRA4,ELEMENTINFRA5,ELEMENTINFRA6,ELEMENTINFRA7,ELEMENTINFRA8,ELEMENTINFRA9,ALCOOL,TXALCOOL,STUP,SEMAINE,MOMENTJOURNEE,TEMPS,CAUSEACC1,CAUSEACC2,CAUSEACC3,CAUSEACC4,CAUSEACC5,FORMATIONCAUSE,FORMATION1,FORMATION2,FORMATION3,FORMATION4,FORMATION5,TRAFIC,CHAUSSEE1,CHAUSSEE2,CHAUSSEE3,CHAUSSEE4,TYPEACC,BLESSURE,TETE,COU,THORAX,MEMBRESSUP,COLONNE,BASSIN,MEMBRESINF,HOPITAL,PLUS24H,TRAJET,TYPEROUTE,MOTIF,SENSTRAJET,PASSAGER,VITESSE,DESCEQ1,DESCEQ2,DESCEQ3,DESCEQ4,DESCEQ5,DESCEQ6,DESCEQ7,DESCEQ8,DESCEQ9,DESCEQ10,VEHICULEETE,VEHICULEAUTOMNE,VEHICULEPRINTEMPS,VEHICULEHIVER,VEHICULESEMAINE,VEHICULEWE,VEHMARQUE,VEHCYLINDREE,VEHMODELE,VEHSEGMENT,VEHSIDE,EQ2RMABS,EQ2RMCBS,EQ2RMABSCBS,EQ2RMREGULATEUR,EQ2RMLIMITEUR,EQ2RMPHARESDIRECT,EQ2RMCOUPURE,EQ2RMANTIPATINAGE,EQ2RMANTIXHEELING,EQ2RMSTABILILTE,VEHKM,POINTS,DUREE,AUTRE2RM,VEHPRECMARQUE,VEHPRECCYLINDREE,VEHPRECMODELE,VEHPRECSEGMENT,VEHPRECSIDE,TEMPS2RMPREC,FREQVEHPREC,DATE_NAISS,CSP,SOCIETAIRE,SALARIE,SECTEUR2RM,NBPERSFOYER,SITFAM,NBENF,TRNBENF1,TRNBENF2,TRNBENF3,TRNBENF4,NBAUTOFOYER,NBCYCLOFOYER,NBSCOOTFOYER,NBMOTOFOYER,NBTRIKEFOYER,NB2RMCONDUIT,MARQUE1,CYLINDREE1,MODELE1,SEGMENT1,SIDE1,ANMISECIRCU1,ASS1,FREQ1,USAGE1,NBKM1,GARAGE1,MARQUE2,CYLINDREE2,MODELE2,SEGMENT2,SIDE2,ANMISECIRCU2,ASS2,FREQ2,USAGE2,NBKM2,GARAGE2,MARQUE3,CYLINDREE3,MODELE3,SEGMENT3,SIDE3,ANMISECIRCU3,ASS3,FREQ3,USAGE3,NBKM3,GARAGE3,MARQUE4,CYLINDREE4,MODELE4,SEGMENT4,SIDE4,ANMISECIRCU4,ASS4,FREQ4,USAGE4,NBKM4,GARAGE4,MARQUE5,CYLINDREE5,MODELE5,SEGMENT5,SIDE5,ANMISECIRCU5,ASS5,FREQ5,USAGE5,NBKM5,GARAGE5,NBKMTOT,PERMIS1,PERMIS2,PERMIS3,PERMIS4,PERMIS5,PERMIS6,PERMIS7,PERMIS8,PERMIS9,ANPERMIS1,ANPERMIS6,ANPERMIS7,ANPERMIS2,ANPERMIS3,ANPERMIS8,ANPERMIS9,ANPERMIS4,ANPERMIS5,Ligne Incidentologie,Ligne Approfondissement Incident,NBINCI1,INCIFREQ1,NBINCI2,INCIFREQ2,NBINCI3,INCIFREQ3,NBINCI4,INCIFREQ4,NBINCI5,INCIFREQ5,NBINCI6,INCIFREQ6,NBINCI7,INCIFREQ7,NBINCI8,INCIFREQ8,NBINCI9,INCIFREQ9,NBINCI10,INCIFREQ10,NBINCI11,INCIFREQ11,NBINCI12,INCIFREQ12,AUTRESINCI,NBAUTRESINCI,TOTAL_INC,DESCAUTREINCI1,DESCAUTREINCI2,DESCAUTREINCI3,DESCAUTREINCI4,DESCAUTREINCI5,DESCAUTREINCI6,DESCAUTREINCI7,DESCAUTREINCI8,DESCAUTREINCI9,DESCAUTREINCI10,EXPGC,CHOIXINCI,RGPMTINCI,IMPACT_COMPORTEMENT,COMPORTEMENT_PRECISION,AUTRE_USAGER,REACTION_AUTRE_USAGER,CONNAISSANCE_REACTIOn_USAGER,AGGRAVATION_PRECISION,EMOTION1,EMOTION2,EMOTION3,EMOTION4,EMOTION5,EMOTION6,AUTRE_SENTIMENT,CL_EMOTION1,CL_EMOTION2,CL_EMOTION3,CL_EMOTION4,CL_EMOTION5,CL_EMOTION6,CL_EMOTION9,EXPL_EMOTION,BIEN_EQUIPE,ALLURE_VITE_DETAIL,ALLURE_LENTE_DETAIL,SIT_CONDUITE1,SIT_CONDUITE2,SIT_CONDUITE3,SIT_CONDUITE4,SIT_CONDUITE5,SIT_CONDUITE6,SIT_CONDUITE7,SIT_CONDUITE8,HUMEUR1,HUMEUR2,HUMEUR3,HUMEUR4,HUMEUR5,ROLE_INFRA,ELEMENT_INFRA1,ELEMENT_INFRA2,ELEMENT_INFRA3,ELEMENT_INFRA4,ELEMENT_INFRA5,ELEMENT_INFRA6,ELEMENT_INFRA7,ELEMENT_INFRA8,MEDICAMENTS,TX_ALCOOL,MOMENT_JOURNEE,CAUSE_ACC1,CAUSE_ACC2,CAUSE_ACC3,CAUSE_ACC4,CAUSE_ACC5,FORMATION_CAUSE,TYPE_ROUTE,SENS_TRAJET,DESC_EQUIPEMENT1,DESC_EQUIPEMENT2,DESC_EQUIPEMENT3,DESC_EQUIPEMENT4,DESC_EQUIPEMENT5,DESC_EQUIPEMENT6,DESC_EQUIPEMENT7,DESC_EQUIPEMENT8,DESC_EQUIPEMENT9,DESC_EQUIPEMENT10,HABITUDE1,HABITUDE2,HABITUDE3,HABITUDE4,HABITUDE5,HABITUDE6,MARQUE,CYLINDREE,MODELE,GTA,SEGMENT,APPELLATION,OPTION,SIDE,EQ_2RM1,EQ_2RM2,EQ_2RM3,EQ_2RM4,EQ_2RM5,EQ_2RM6,EQ_2RM7,EQ_2RM8,EQ_2RM9,EQ_2RM10,KM,AUTRE_2RM,VEH_PREC_MARQUE,VEH_PREC_CYLINDREE,VEH_PREC_MODELE,VEH_PREC_GTA,VEH_PREC_SEGMENT,VEH_PREC_APPELLATION,VEH_PREC_OPTION,VEH_PREC_SIDE,TEMPS_2RM1,FREQ_2RM1
419,15,,1,0,3,,,,,,0,3,,,,,,0,4,,,,,,0,3,,,,,,0,3,,,,,,0,2,,,,,,0,2,,,,,,0,6,,,,,,1,2,1992,,,,,0,3,,,,,,1,5,1995,,,,,0,2,,,,,,0,5,,,,,,1,4,1998,,,,,1,1,4,2010,,,,,Paris,,,,,"Glissade de la roue avant sur pavé mouillé dans un rond point entre 2 véhicules, ai percuté l aile arrière droite du véhicule devant poussé par le véhicule de derrière",,,,,0,0,4,0,26,1,51,11,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16SEP1965,6,1,,2,2,3,,NSP,,,,0,0,0,2,0,2,YAMAHA,1300,FJR,Routière / GT,,2006,37,1,2,21000,,BMW,1100,R1100RT,Routière / GT,,2001,37,1,2,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000,3,,,,,,,,,NRP,,,NRP,1992,,,NRP,NRP,1510,,1,2,0,1,1,1,0,2,30,6,0,1,0,1,1,2,1,1,1,1,0,1,4,3,0,,39,,,,,,,,,,,23,,NRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,34,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15APR1947,9,2,,2,2,3,,NSP,,,,2,1,1,0,0,1,YAMAHA,125,MAJESTY,Scooter,,2006,31,2,1,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,4,,,,,,,,,NRP,,,NRP,NRP,,,1966,NRP,202,29V2,2,5,1,5,2,4,1,5,1,4,0,2,0,4,17,3,3,5,0,5,2,2,3,2,1,3,35,Sortie de parking en créneau sans clignotant,Ouverture de porte conducteur sur la chaussée au passage du 2 roues,Voiture sur 2X2 qui coupe les 2 voies pour effectuer une sortie en urgence,,,,,,,,0,8,Vou,2,Confronté au même scénario: réduction de vitesse et occupation de la partie gauche de ma voie,1,NSP,,,4,6,,,,,,,,,1,,2,,J'ai durant mon parcours d'automobiliste et d'utilisateur de 2 roues environ 3 000 000 de kms parcouru à maîtriser de nombreuses situations. Mais quand on attente à ma sécurité j'ai toujours ce sentiment d'impuissance et d'incompréhension de l'attitude de l'autre,3,,,1,1,4,4,1,1,1,1,1,3,4,4,4,2,,,,,,,,,2,,1,0.0,100.0,0,0,0,2,2,,1,10,2,3,4,,,,,,4,3,3,2,4,4,YAMAHA,125,X-MAX ABS,15931,SCOOTER,"YAMAHA, 125 X-MAX ABS",1,2,0,1,1,1,1,1,1,1,2,1,1653,1,YAMAHA,125,MAJESTY,10725,SCOOTER,"YAMAHA, 125 MAJESTY",1,2,4,3
1916,68,,1,1,5,1991,,,,,1,5,1989,,,,,0,6,,,,,,0,4,,,,,,0,5,,,,,,0,2,,,,,,0,3,,,,,,0,4,,,,,,2,4,NSP,NSP,,,,0,5,,,,,,0,6,,,,,,0,2,,,,,,0,2,,,,,,0,5,,,,,,0,,4,,,,,,,,,,,,,,,,,,4,3,28,1,1,1,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11AUG1964,4,1,,2,4,4,2,1,,,,2,0,0,5,0,5,HONDA,1000,CBX,Roadster,,1980,37,3,1,2000,,HONDA,1000,CBX,Roadster,,1981,37,2,1,4000,,HONDA,1000,CBX,Roadster,,1982,37,3,1,1000,,YAMAHA,1300,FJR,Routière / GT,,2002,37,1,2,30000,,BMW,500,R50,Roadster,,1963,37,4,1,1000,,38000,3,4,,,,,,,,NRP,,,NRP,1982,,,1982,NRP,804,,3,4,0,3,4,4,2,5,2,5,0,3,0,1,0,3,20,4,0,1,0,1,5,2,1,2,38,Glisade,Flissade,,,,,,,,,30,12,NRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,110,,1,0,4,,,,,,0,6,,,,,,1,5,2003,,,,,0,1,,,,,,0,5,,,,,,0,3,,,,,,0,3,,,,,,0,5,,,,,,1,6,1989,,,,,0,3,,,,,,0,6,,,,,,0,1,,,,,,0,3,,,,,,0,1,,,,,,1,3,5,1989,1989,2003,,,Strasbourg,Strasbourg,Strasbourg,,,Glissade sur gravillons en virage,Route coupée par un véhicule stationné en contre sens et qui quittait son stationnement,Route coupée par un véhicule qui a subitement changé de file sans en avertir (remontée interfille à vitesse du pas),,,0,0,4,0,37,1,41,9,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16MAY1966,2,2,,1,4,4,2,4,,,,4,0,0,6,0,10,BMW,1200,R1200R,Roadster,,2008,26,1,3,38000,,YAMAHA,600,XJ6,Roadster,,2010,40,1,3,20000,,YAMAHA,600,XJ6,Roadster,,2011,40,1,3,20000,,YAMAHA,125,YB-R,Roadster,,2011,40,2,3,10000,,YAMAHA,600,XJ6 DIVERSION,Roadster,,1980,41,4,1,100,,88100,3,4,,,,,,,,NRP,,,NRP,1988,,,1984,NRP,711,,0,2,1,6,2,4,0,1,3,6,0,4,0,6,1,2,5,4,0,2,1,5,7,3,0,,20,,,,,,,,,,,30,9,NRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
676,145,,1,0,4,,,,,,2,3,1989,1981,,,,0,6,,,,,,0,1,,,,,,1,6,1989,,,,,1,6,1989,,,,,0,2,,,,,,0,4,,,,,,0,2,,,,,,0,4,,,,,,1,6,1989,,,,,0,2,,,,,,1,2,1980,,,,,0,3,,,,,,0,,6,,,,,,,,,,,,,,,,,,2,2,35,1,51,11,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02JUN1956,7,2,,2,2,3,,NSP,,,,2,0,1,1,0,2,SUZUKI,1400,GSX,Roadster,,2006,29,3,1,4000,,SUZUKI,400,BURGMAN,Scooter,,2007,29,1,2,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,3,4,,,,,,,,NRP,,,NRP,1982,,,1974,NRP,1287,157V1,1,5,1,5,0,6,0,6,0,4,1,2,3,5,0,6,0,6,1,5,0,1,0,1,0,,7,,,,,,,,,,,41,6,Vou,2,"quand je remonte une file je suis beaucoup plus attentif et je me pose la question ""que fait ce véhicule arrêter alors que les autres avancent lentement",0,,,,1,2,5,6,,,,2,1,,,,3,,le véhicule sortant était complètement masqué par le fourgon,4,,,1,1,4,3,1,1,1,1,1,1,4,4,4,2,,,,,,,,,2,,1,100.0,0.0,0,0,0,2,1,2,1,2,4,7,,,,,,,4,4,4,4,4,4,HONDA,750,INTEGRA (NC750D),20633,SCOOTER,"HONDA, 750 INTEGRA (NC750D)",1,2,0,1,1,1,1,1,1,1,1,1,5000,1,SUZUKI,1400,GSX,4687,ROADSTER,"SUZUKI, 1400 GSX",1,2,4,3
176,179,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05JUN1978,5,2,,2,2,3,,NSP,,,,2,1,0,1,0,1,MOTO GUZZI,1200,GRISO 8V,Roadster,,2011,24,2,1,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,3,4,,,,,,,,NRP,,,NRP,2010,,,1999,NRP,1714,,1,4,0,3,0,4,0,3,1,5,0,3,0,3,0,3,0,3,0,3,1,4,0,2,0,,3,,,,,,,,,,,5,11,NRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,211,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14SEP1972,7,2,,1,3,4,1,1,,,,2,0,0,1,0,1,YAMAHA,600,FZ6-S FAZER,Roadster,,2000,33,4,1,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,4,3,2,,,,,,,NRP,,,1990,2000,,,1990,NRP,1946,75V1,0,1,1,1,1,1,0,1,3,4,2,2,1,1,2,1,1,1,3,2,3,4,2,3,1,0,19,,,,,,,,,,,15,9,Vou,2,ATTENDRE QUE LE VEHICULE FINNISE SA MANOEUVRE POUR TOURNER ET ANTICIPER QUE LE SUIVANT VA ETRE SURPRIS,1,1,3,PAR SON EVITEMENT,2,,,,,,,,1,,,,,,MISE EN MODE EVITEMENT,2,,,1,3,3,4,1,1,1,1,1,1,4,4,4,2,,,,,,,,,2,,2,0.0,100.0,0,0,0,2,1,2,1,10,2,4,7,,,,,,4,4,4,4,4,4,KAWASAKI,600,ZX-6R NINJA,2882,SPORTIVE,"KAWASAKI, 600 ZX-6R NINJA",1,2,1,1,1,1,1,1,1,1,1,1,80000,0,,,,,,,,,,
1656,245,,1,0,6,,,,,,0,5,,,,,,0,6,,,,,,0,3,,,,,,1,6,2010,,,,,1,6,2010,,,,,0,4,,,,,,0,2,,,,,,0,3,,,,,,0,5,,,,,,0,5,,,,,,0,2,,,,,,0,3,,,,,,0,6,,,,,,0,,2,,,,,,,,,,,,,,,,,,8,3,5,1,26,6,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14AUG1973,7,2,,2,1,1,,NSP,,,,1,0,0,1,0,1,YAMAHA,600,XJ6,Roadster,,2011,33,2,1,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,4,3,,,,,,,,NRP,,,NRP,2010,,,1991,NRP,167,55V2,0,6,0,5,0,5,0,3,5,6,1,6,0,5,2,4,10,5,0,1,0,3,1,4,1,1,20,Un véhicule refuse la priorité alors que je suis dans un rond point,,,,,,,,,,4,6,Vou,2,JE me méfie énormement en remonté de file maintenant.,1,NSP,,,6,,,,,,,,,,,,1,,Je savais que j'allais être percuté. Il n'y avait pas grand chose à faire.,4,,,1,1,3,3,3,1,1,1,4,3,4,4,4,2,,,,,,,,,2,,1,0.0,100.0,0,0,0,2,1,,1,2,3,4,7,9,,,,,4,3,3,1,3,4,DERBI,125,MULHACEN CAFE,12604,ROADSTER,"DERBI, 125 MULHACEN CAFE",1,2,1,1,1,1,1,1,1,1,1,1,5000,1,HYOSUNG,125,RT KARION,4890,TRAIL / SUPERMOTARD,"HYOSUNG, 125 RT KARION",1,2,2,3
1681,451,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02MAR1971,7,2,,2,3,4,1,4,,,,3,1,0,1,0,3,SUZUKI,1250,BANDIT-S,Roadster,,2008,22,3,1,8000,,PEUGEOT,50,V CLIC,Scooter,,2008,23,4,1,1000,,SOLEX (IMPEX),50,SOLEX,Roadster,,1962,23,4,1,500,,,,,,,,,,,,,,,,,,,,,,,,9500,2,3,4,,,,,,,NRP,,,1988,1996,,,1989,NRP,772,,0,3,0,3,0,6,0,1,3,4,0,3,0,5,2,5,2,5,0,2,0,3,0,2,1,1,8,ROUTE COUPE DANS UN ROND POINT ET LA VOITURE MA SERRE ENSUITE SUR LE TROTTOIR DU TERRE PLEIN DU ROND POINT,,,,,,,,,,24,5,NRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,463,,1,0,6,,,,,,0,6,,,,,,0,5,,,,,,0,3,,,,,,0,5,,,,,,0,4,,,,,,0,3,,,,,,0,4,,,,,,1,5,1975,,,,,0,3,,,,,,0,4,,,,,,0,4,,,,,,0,3,,,,,,0,3,,,,,,0,,1,,,,,,,,,,,,,,,,,,40,40,40,1,41,9,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21MAY1955,4,1,,1,2,3,,NSP,,,,1,0,1,2,0,3,YAMAHA,900,XJS DIVERSION,Routière / GT,,2001,37,1,2,20000,,MOTO GUZZI,1100,V11 LE MANS,Routière / GT,,2003,41,2,1,20000,,PEUGEOT,80,SV 80,Scooter,,1995,40,1,1,5000,,,,,,,,,,,,,,,,,,,,,,,,45000,3,4,,,,,,,,NRP,,,NRP,1977,,,1973,NRP,1532,205V1,4,6,0,6,4,6,2,6,6,6,3,5,10,3,50,4,15,3,0,1,20,4,40,4,1,10,164,SORTIE DE VOIES PRIVEES,1/2 TOUR SUR ROUTE,NON RESPECT DES DISTANCES DE SECURITE,DEPASSEMENT HASARDEUX,SORTIE DE VIRAGE NON CONTROLEE,FRANCHISSEMENT FEU ROUGE,VOIES D ENTRECROISEMENT MEPRISEES,LIGNE DE DISSUASION VIOLEES,QUEUE DE POISSON,,45,11,Vou,3,,0,,,,3,,,,,,,,,1,,,,,irrationalité de l'arrêt de la conductrice,4,1,,4,1,4,4,1,1,1,1,2,1,4,4,4,2,,,,,,,,,2,,1,100.0,0.0,0,0,0,2,2,,1,2,3,4,7,8,,,,,4,4,4,4,4,NRP,YAMAHA,700,MT-07 ABS,20626,ROADSTER,"YAMAHA, 700 MT-07 ABS",1,2,0,1,1,1,1,1,1,1,1,1,8900,1,BMW,1200,R1200RS PACK PRO,21939,Routière / GT,"BMW, 1200 R1200RS PACK PRO",1,2,1,4
